Area,GIGW 3.0 clause,Annexure II S/N,WCAG 2.1,Checkpoint (GIGW 3.0 wording),Result,Where in the tracker,Tracker issues,Note,GIGW page
Accessibility,5.2.47,47,3.3.4,"For webpages that cause legal commitments or financial transactions for the user to occur, that modify or delete user-controllable data in data storage systems, or that submit user test responses, at least one of the following is true: (a) Submissions are reversible; (b) Data entered by the user is checked for input errors and the user is provided with an opportunity to correct them; and (c) A mechanism is available for reviewing, confirming, and correcting information before finalising the submission.",Not applicable,Resolved & Withdrawn,,"Not applicable: no time limits or sign-in session, no device-motion controls, and no legal, financial or test submission on the website.",https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=77
Accessibility,5.2.48,48,4.1.1,"In content implemented using markup languages, elements have complete start and end tags, elements are nested according to their specifications, elements do not contain duplicate attributes and any IDs are unique, except where the specifications allow these features.",Fails — tracked,Issues,COD-04,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=77
Accessibility,5.2.49,49,4.1.2,"For all user interface components (including but not limited to form elements, links and components generated by scripts), the name and role can be programmatically determined; states, properties and values that can be set by the user can be programmatically set; and notification of changes to these items is available to user agents, including assistive technologies.",Fails — tracked,Issues,"ACC-05, ACC-12, ACC-13, ACC-16, ACC-19",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=78
Accessibility,5.2.50,50,4.1.3,"In content implemented using markup languages, status messages can be programmatically determined through role or properties such that they can be presented to the user by assistive technologies without receiving focus.",Fails — tracked,Issues,ACC-21,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=79
Security,5.3.1,1,,"Website, web application, web portal or mobile app have been Security Audited and an Audit Clearance certificate has been issued by NIC/ STQC/ STQC empanelled laboratory/CERT -In empanelled laboratory before hosting in production environment.",Fails — tracked,Issues,SEC-07,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=81
Security,5.3.2,2,,"Hosting Environment has been secured for ensuring confidentiality, integrity and availability (CIA).",Fails — tracked,Issues,"SEC-04, SEC-05",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=85
Security,5.3.3,3,,"Website has the Security Policy, Privacy Policy and the Contingency Management Plan clearly defined policies and plans approved by the government organisation.",Fails — tracked,Issues,"MAN-12, SEC-01, SEC-02",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=91
Lifecycle Management,5.4.1,1,,The government organisation has nominated a Web Information Manager (WIM) as defined in the guidelines.,Fails — tracked,Issues,MAN-07,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=92
Lifecycle Management,5.4.2,2,,It has been ensured that all stationery of the government organisations as well as advertisements/public messages issued by the concerned organisation prominently display the URL of the website.,Waiting on the Department,Dependencies,,DEP-12,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=93
Lifecycle Management,5.4.3,3,,"Website has the following clearly defined policies and plans approved by the Web Information Manager (WIM): (a) Copyright Policy (b) Content Contribution, Moderation & Approval (CMAP) policy (c) Content Archival (CAP) policy (d) Content Review (CRP) policy (e) Hyper linking Policy (f) Terms & Conditions (g) Website Monitoring Plan",Fails — tracked,Issues,"MAN-04, MAN-12",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=93
Lifecycle Management,5.4.4,4,,The mechanism is in place to check the accuracy of Hyperlinked Content and clear indications are given when a link leads out to a non-government website.,Fails — tracked,Issues,"ACC-17, LNK-02, NAV-02",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=94
Lifecycle Management,5.4.5,5,,It is ensured through content moderation and approval policy that Website content is free from offensive/ discriminatory language.,Fails — tracked,Issues,CON-01,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=94
Lifecycle Management,5.4.6,6,,Documents/pages in multiple languages are updated simultaneously.,Fails — tracked,Issues,LNG-01,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=95
Lifecycle Management,5.4.7,7,,Mechanism is in place to ensure that there are no ‘broken links’ (internal as well as external) or ‘Page not found’ errors.,Fails — tracked,Issues,"LNK-01, LNK-02, LNK-03, MAN-11 + 22 page-level",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=95
Lifecycle Management,5.4.8,8,,There are no links to ‘under construction’ pages.,Fails — tracked,Issues,"CON-02, CON-05",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=96
Lifecycle Management,5.4.9,9,,Documents are provided either in HTML or other accessible formats.,Fails — tracked,Issues,DOC-01 + 10 page-level,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=96
Lifecycle Management,5.4.10,10,,Website/app is bilingual with a prominent language selection link and uses Unicode characters. Users shall be provided with an option to select their preferred language (e.g. through a pop up) prior to entering the website.,Fails — tracked,Issues,"LNG-01, LNG-02",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=96
