"#","Title as listed on the site","URL","Is it a scheme of this Department?","What it actually is","Administered by","Where it should go","Comment","Source of validation"
"65","Mahila Adhikarita Yojana (MAY)","https://www.dosje.gov.in/schemes-and-services/mahila-adhikarita-yojana-may/","No","A corporation s loan product or activity","NSKFDC","Organisation → NSKFDC → Loan schemes","NSKFDC women's loan product.","The record's own text names NSKFDC as the lender. NSKFDC's lending is reported in Annual Report 2025-26, ch.3 §3.35 as the corporation's activity, not as a Department scheme; no scheme line in Notes on Demands for Grants 2026-27, Demand No.93."
"66","Mahila Samridhi Yojna (MSY)","https://www.dosje.gov.in/schemes-and-services/mahila-samridhi-yojna-msy/","No","A corporation s loan product or activity","NSKFDC","Organisation → NSKFDC → Loan schemes","NSKFDC women's loan product.","The record's own text names NSKFDC as the lender. NSKFDC's lending is reported in Annual Report 2025-26, ch.3 §3.35 as the corporation's activity, not as a Department scheme; no scheme line in Notes on Demands for Grants 2026-27, Demand No.93."
"67","Maintenance allowance to Backward Class students under training in Sainik Schools.","https://www.dosje.gov.in/schemes-and-services/maintenance-allowance-to-backward-class-students-under-training-in-sainik-schools/","No","A State Government scheme","Government of Maharashtra (inferred)","DWBDNC → State schemes directory (Maharashtra)","Maharashtra — VJNT/SBC students in Sainik Schools.","Record's own text: VJNT/SBC are the category names used by Maharashtra, not by the Union; Sainik School maintenance allowance. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"68","Meritorious Scholarships to VJNT and SBC Students Studying in Secondary Schools","https://www.dosje.gov.in/schemes-and-services/meritorious-scholarships-to-vjnt-and-sbc-students-studying-in-secondary-schools/","No","A State Government scheme","Government of Maharashtra (inferred)","DWBDNC → State schemes directory (Maharashtra)","Maharashtra — VJNT/SBC secondary-school merit scholarship.","Record's own text: VJNT/SBC are the category names used by Maharashtra, not by the Union. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"69","Micro Credit Finance (MCF)","https://www.dosje.gov.in/schemes-and-services/micro-credit-finance-mcf/","No","A corporation s loan product or activity","NSKFDC","Organisation → NSKFDC → Loan schemes","NSKFDC micro-credit product.","The record's own text names NSKFDC as the lender. NSKFDC's lending is reported in Annual Report 2025-26, ch.3 §3.35 as the corporation's activity, not as a Department scheme; no scheme line in Notes on Demands for Grants 2026-27, Demand No.93."
"70","Micro Credit Finance (MCF)","https://www.dosje.gov.in/schemes-and-services/micro-credit-finance-mcf-2/","No","A duplicate listing","NSKFDC","Delete","Empty page with the identical title and an added ""-2"" in the address.","Empty page with the identical title to record 69 and ""-2"" appended to the web address."
"71","MICRO FINANCE SCHEME","https://www.dosje.gov.in/schemes-and-services/micro-finance-scheme/","No","A corporation s loan product or activity","NSFDC","Organisation → NSFDC → Loan schemes","NSFDC micro-finance product. Title is shouted.","The record's own text names NSFDC as the lender. NSFDC's lending is reported in Annual Report 2025-26, ch.3 §3.34 as the corporation's activity, not as a Department scheme; no scheme line in Notes on Demands for Grants 2026-27, Demand No.93."
"72","Mukhyamantri Vimukt, Ghumantu and Ardhghumantu Swarozgar Yojana (CM Self-Employment Scheme)","https://www.dosje.gov.in/schemes-and-services/mukhyamantri-vimukt-ghumantu-and-ardhghumantu-swarozgar-yojana-cm-self-employment-scheme/","No","A State Government scheme","Government of Madhya Pradesh (stated on the page)","DWBDNC → State schemes directory (Madhya Pradesh)","Madhya Pradesh Chief Minister's self-employment scheme for DNTs.","Record's own text: a Madhya Pradesh Chief Minister's self-employment scheme for DNTs. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"73","National Action for Mechanised Sanitation Ecosystem (NAMASTE)","https://www.dosje.gov.in/schemes-and-services/national-action-for-mechanised-sanitation-ecosystem-namaste/","Yes","A scheme of this Department","Department of Social Justice & Empowerment","Stays","Central Sector, with the Ministry of Housing and Urban Affairs.","Annual Report 2025-26, ch.3 §3.11; Notes on Demands for Grants 2026-27, Demand No.93 17; PIB Year-End Review 2025."
"74","National Action Plan for Drug Demand Reduction","https://www.dosje.gov.in/schemes-and-services/national-action-plan-for-drug-demand-reduction/","Yes","A scheme of this Department","Department of Social Justice & Empowerment","Stays","NAPDDR — Centrally Sponsored, and the parent of Nasha Mukt Bharat Abhiyaan.","Annual Report 2025-26, ch.3 §3.15; Notes on Demands for Grants 2026-27, Demand No.93 32; PIB Year-End Review 2025."
"75","National Fellowship for OBC Students (NF-OBC)","https://www.dosje.gov.in/schemes-and-services/national-fellowship-for-obc-students-nf-obc/","Yes","A scheme of this Department","Department of Social Justice & Empowerment","Stays","Central Sector fellowship for OBC students.","Annual Report 2025-26, ch.3 §3.23; Notes on Demands for Grants 2026-27, Demand No.93 13.01."
"76","National Fellowship for Scheduled Caste Students","https://www.dosje.gov.in/schemes-and-services/national-fellowship-for-scheduled-caste-students/","Yes","A scheme of this Department","Department of Social Justice & Empowerment","Stays","Central Sector fellowship for SC students.","Annual Report 2025-26, ch.3 §3.3; Notes on Demands for Grants 2026-27, Demand No.93 8.01; PIB Year-End Review 2025."
"77","National Overseas Scholarship (NOS) for SC etc. Candidates","https://www.dosje.gov.in/schemes-and-services/national-overseas-scholarship-nos-for-sc-etc-candidates/","Yes","A scheme of this Department","Department of Social Justice & Empowerment","Stays","Central Sector, SHREYAS for SCs. Absorbs the duplicate listed above.","Annual Report 2025-26, ch.3 §3.4; Notes on Demands for Grants 2026-27, Demand No.93 8.04; PIB Year-End Review 2025."
"78","National Safai Karamcharis Finance and Development Corporation (NSKFDC)","https://www.dosje.gov.in/schemes-and-services/national-safai-karamcharis-finance-and-development-corporation-nskfdc/","No","An organisation or institution","NSKFDC","Delete; 301 to the NSKFDC organisation page","A corporation, not a scheme — and it already has its own organisation pages.","A corporation, not a programme. The site already publishes NSKFDC organisation pages (organisation.json)."
"79","National Scheduled Castes Finance and Development Corporation (NSFDC)","https://www.dosje.gov.in/schemes-and-services/national-scheduled-castes-finance-and-development-corporation-nsfdc/","No","An organisation or institution","NSFDC","Delete; 301 to the NSFDC organisation page","A corporation, not a scheme — and it already has its own organisation pages.","A corporation, not a programme. The site already publishes NSFDC organisation pages (organisation.json)."
"80","Other Initiatives","https://www.dosje.gov.in/schemes-and-services/other-initiatives/","No","A memorandum of understanding","Not stated on the page","Documents → MoU","A memorandum of understanding signed in June 2026, published as a scheme.","The record's body is the text of a memorandum of understanding dated 26 June 2026."
"81","Pandit Din Dayal Upadhyay Awas Yojana (Housing Scheme)","https://www.dosje.gov.in/schemes-and-services/pandit-din-dayal-upadhyay-awas-yojana-housing-scheme/","No","A State Government scheme","A State Government — not named on the page","DWBDNC → State schemes directory","A State urban housing scheme. Also filed under ""Education"" while it is housing.","Record's own text: a State urban housing scheme with State assistance ceilings. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"82","PAY & Use TOILETS","https://www.dosje.gov.in/schemes-and-services/pay-use-toilets/","No","A corporation s loan product or activity","NSKFDC","Organisation → NSKFDC → Loan schemes","NSKFDC financing for pay-and-use community toilets.","The record's own text names NSKFDC as the lender. NSKFDC's lending is reported in Annual Report 2025-26, ch.3 §3.35 as the corporation's activity, not as a Department scheme; no scheme line in Notes on Demands for Grants 2026-27, Demand No.93."
"83","Payment of maintenance allowance to VJNT and SBC students studying in professional courses and living in hostel attached to professional colleges.","https://www.dosje.gov.in/schemes-and-services/payment-of-maintenance-allowance-to-vjnt-and-sbc-students-studying-in-professional-courses-and-living-in-hostel-attached-to-professional-colleges/","No","A State Government scheme","Government of Maharashtra (inferred)","DWBDNC → State schemes directory (Maharashtra)","Maharashtra — VJNT/SBC maintenance allowance.","Record's own text: VJNT/SBC are the category names used by Maharashtra, not by the Union. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"84","Performance Linked Grants-in-aid Scheme(PLGIA)","https://www.dosje.gov.in/schemes-and-services/performance-linked-grants-in-aid-schemeplgia/","No","A corporation s loan product or activity","One of the Department s corporations — not stated","Organisation → the owning corporation; write the content","Empty page. A performance-linked grant to the corporations' channelising agencies.","Empty page. A performance-linked grant to the corporations' channelising agencies; no administering body stated."
"85","PM-DAKSH","https://www.dosje.gov.in/schemes-and-services/pm-daksh/","Yes","A scheme of this Department","Department of Social Justice & Empowerment","Stays, with the merger stated","Central Sector skill training. The Demand for Grants 2026-27 records it merging into PM Kaushal Vikas Yojana — confirm before it is shown as open.","Annual Report 2025-26, ch.3 §3.13; Notes on Demands for Grants 2026-27, Demand No.93 11 — and Notes on Demands for Grants 2026-27, Demand No.93 11 records the merger into PM Kaushal Vikas Yojana from 2026-27."
"86","PM Special (Training of Geriatric Care Givers)","https://www.dosje.gov.in/schemes-and-services/pm-special-training-of-geriatric-care-givers/","Yes — a component of another scheme","A scheme of this Department","Department of Social Justice & Empowerment","Stays","AVYAY caregiver training; absorbs the duplicate above.","Annual Report 2025-26, ch.3 §3.14 F; PIB Year-End Review 2025."
"87","PM YASASVI","https://www.dosje.gov.in/schemes-and-services/pm-yasasvi/","Yes — but already listed under another name","A duplicate listing","Department of Social Justice & Empowerment","Merge into one record","The same PM-YASASVI umbrella as the record below it.","Annual Report 2025-26, ch.3 §3.18-3.22; Notes on Demands for Grants 2026-27, Demand No.93 30. Same umbrella as record 88."
"88","PM YOUNG ACHIEVERS SCHOLARSHIP AWARD SCHEME FOR VIBRANT INDIA FOR OBCs AND OTHERS (PM -YASASVI)","https://www.dosje.gov.in/schemes-and-services/pm-young-achievers-scholarship-award-scheme-for-vibrant-india-for-obcs-and-others-pm-yasasvi/","Yes","A scheme of this Department","Department of Social Justice & Empowerment","Stays; make the five sub-schemes children of it","Umbrella scheme for OBC, EBC and DNT students, with five sub-schemes.","Annual Report 2025-26, ch.3 §3.18-3.22; Notes on Demands for Grants 2026-27, Demand No.93 30.01-30.05 — five sub-schemes."
"89","Post Matric Scholarship","https://www.dosje.gov.in/schemes-and-services/post-matric-scholarship/","No","A State Government scheme","A State Government — not named on the page","DWBDNC → State schemes directory; remove the placeholder number","A State DNT post-matric scholarship. Also publishes a placeholder helpline, ""1800-123-4567"".","Record's own text: State scholarship rates and a State paying authority; the page also publishes a placeholder helpline, 1800-123-4567. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"90","Post-Matric Scholarship for SC students","https://www.dosje.gov.in/schemes-and-services/post-matric-scholarship-for-sc-students/","Yes","A scheme of this Department","Department of Social Justice & Empowerment","Stays","Centrally Sponsored, Umbrella Scheme for Development of SCs.","Annual Report 2025-26, ch.3 §3.1; Notes on Demands for Grants 2026-27, Demand No.93 26; PIB Year-End Review 2025."
"91","Post SSC Scholarship for Boys","https://www.dosje.gov.in/schemes-and-services/post-ssc-scholarship-for-boys/","No","A State Government scheme","A State Government — not named on the page","DWBDNC → State schemes directory","A State post-SSC scholarship; the income ceilings are a State's.","Record's own text: a State post-SSC scholarship; the income ceilings are a State's. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"92","Post SSC Scholarship to Girls","https://www.dosje.gov.in/schemes-and-services/post-ssc-scholarship-to-girls/","No","A State Government scheme","A State Government — not named on the page","DWBDNC → State schemes directory","A State post-SSC scholarship for girls. Carries the SHRESHTA standfirst by mistake.","Record's own text: a State post-SSC scholarship for girls. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"93","Pradhan Mantri Anusuchit Jaati Abhyuday Yojna (PM-AJAY)","https://www.dosje.gov.in/schemes-and-services/pradhan-mantri-anusuchit-jaati-abhyuday-yojna-pm-ajay/","Yes","A scheme of this Department","Department of Social Justice & Empowerment","Stays","Centrally Sponsored; Adarsh Gram, grants-in-aid and hostels.","Annual Report 2025-26, ch.3 §3.7; Notes on Demands for Grants 2026-27, Demand No.93 28; PIB Year-End Review 2025."
"94","Pre-Matric Scholarships Scheme for Scheduled Castes & Others","https://www.dosje.gov.in/schemes-and-services/pre-matric-scholarships-scheme-for-scheduled-castes-others/","Yes","A scheme of this Department","Department of Social Justice & Empowerment","Stays","Centrally Sponsored; covers Classes IX–X for SCs and Classes I–X for children in hazardous cleaning work.","Annual Report 2025-26, ch.3 §3.2; Notes on Demands for Grants 2026-27, Demand No.93 27; PIB Year-End Review 2025."
"95","Pre SSC Scholarship","https://www.dosje.gov.in/schemes-and-services/pre-ssc-scholarship/","No","A State Government scheme","A State Government — not named on the page","DWBDNC → State schemes directory","A State pre-SSC scholarship.","Record's own text: a State pre-SSC scholarship with State income ceilings. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"96","Primary Education","https://www.dosje.gov.in/schemes-and-services/primary-education/","No","A State Government scheme","A State Government — not named on the page","DWBDNC → State schemes directory","A State primary-education scholarship of Rs 15 a month, paid through a State Directorate of Public Instruction.","Record's own text: a scholarship of Rs 15 a month paid through a State Directorate of Public Instruction. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"97","Publication of the Collected Works of Baba Saheb Dr. B. R. Ambedkar (CWBA) in Hindi, English and other regional languages.","https://www.dosje.gov.in/schemes-and-services/publication-of-the-collected-works-of-baba-saheb-dr-b-r-ambedkar-cwba-in-hindi-english-and-other-regional-languages/","Yes","A scheme of this Department","Dr. Ambedkar Foundation","Organisation → Dr. Ambedkar Foundation → Publications","A Dr. Ambedkar Foundation publication programme; the page is a heading and nothing else.","A Dr. Ambedkar Foundation publication programme. Not cited as a scheme in Annual Report 2025-26, ch.3 ch.3; the page is a heading and nothing else."
"98","Purchase of Land to Provide Accomodation for the Homeless","https://www.dosje.gov.in/schemes-and-services/purchase-of-land-to-provide-accomodation-for-the-homeless/","No","A State Government scheme","A State Government — not named on the page","DWBDNC → State schemes directory","State land purchase for homeless DNT families.","Record's own text: State land purchase for homeless DNT families. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"99","Rajarshi Chhatrapati Shahu Maharaj Merit Scholarship","https://www.dosje.gov.in/schemes-and-services/rajarshi-chhatrapati-shahu-maharaj-merit-scholarship/","No","A State Government scheme","Government of Maharashtra (inferred)","DWBDNC → State schemes directory (Maharashtra)","Maharashtra — named for Rajarshi Shahu Maharaj, VJNT/SBC students.","Record's own text: VJNT/SBC are the category names used by Maharashtra, not by the Union; named for Rajarshi Shahu Maharaj. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"100","Rashtriya Vayoshri Yojana (RVY)","https://www.dosje.gov.in/schemes-and-services/rashtriya-vayoshri-yojana-rvy/","Yes — a component of another scheme","A scheme of this Department","Department of Social Justice & Empowerment","Stays; cut to a page and link the PDF","Central Sector, AVYAY. The page is 40 KB of pasted guideline text.","Annual Report 2025-26, ch.3 §3.14 C; Notes on Demands for Grants 2026-27, Demand No.93 18; PIB Year-End Review 2025."
"101","Revised Guidelines of National Action for Mechanized Sanitation Ecosystem (NAMASTE) Scheme","https://www.dosje.gov.in/schemes-and-services/revised-guidelines-of-national-action-for-mechanized-sanitation-ecosystem-namaste-scheme/","No","A document","Not stated on the page","Documents → Acts, Rules & Guidelines","Empty page. A revised guideline document of NAMASTE — the second of three NAMASTE guideline records.","The record has a document title and an empty body — it is the document, not the programme."
"102","Revised Scheme Guidelines For inclusion of Waste Pickers Component under NAMASTE","https://www.dosje.gov.in/schemes-and-services/revised-scheme-guidelines-for-inclusion-of-waste-pickers-component-under-namaste/","No","A document","Not stated on the page","Documents → Acts, Rules & Guidelines","Empty page. A third NAMASTE guideline document listed as a scheme.","The record has a document title and an empty body — it is the document, not the programme."
"103","Sanitary Marts Scheme","https://www.dosje.gov.in/schemes-and-services/sanitary-marts-scheme/","No","A corporation s loan product or activity","NSKFDC","Organisation → NSKFDC → Loan schemes","NSKFDC financing for sanitary marts.","The record's own text names NSKFDC as the lender. NSKFDC's lending is reported in Annual Report 2025-26, ch.3 §3.35 as the corporation's activity, not as a Department scheme; no scheme line in Notes on Demands for Grants 2026-27, Demand No.93."
"104","Savitribai Phule Scholarship for VJNT and SBC Girl Students","https://www.dosje.gov.in/schemes-and-services/savitribai-phule-scholarship-for-vjnt-and-sbc-girl-students/","No","A State Government scheme","Government of Maharashtra (inferred)","DWBDNC → State schemes directory (Maharashtra)","Maharashtra — VJNT/SBC girls' scholarship.","Record's own text: VJNT/SBC are the category names used by Maharashtra, not by the Union. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"105","Scheme For Residential Education For Students in High Schools in Targeted Areas (SHRESHTA)","https://www.dosje.gov.in/schemes-and-services/scheme-for-residential-education-for-students-in-high-schools-in-targeted-areas-shreshta/","Yes","A scheme of this Department","Department of Social Justice & Empowerment","Stays","Central Sector; residential education and grant-in-aid to NGO-run schools.","Annual Report 2025-26, ch.3 §3.10; Notes on Demands for Grants 2026-27, Demand No.93 9; PIB Year-End Review 2025."
"106","Scheme of Assistance to Scheduled Castes Development Corporations (SCDCs)","https://www.dosje.gov.in/schemes-and-services/scheme-of-assistance-to-scheduled-castes-development-corporations-scdcs/","To confirm","Status unconfirmed","Not stated on the page","Confirm with the Department; archive if closed","A 49:51 Centrally Sponsored share-capital scheme to State SC Development Corporations, but no matching line was found in the Demand for Grants 2026-27.","Not among the 38 records in the scheme master. The record describes a 49:51 Centrally Sponsored share-capital scheme; no matching line found in Notes on Demands for Grants 2026-27, Demand No.93."
"107","Scheme of National Awards for Outstanding Services in the field of Prevention of Alcoholism and Substance (Drug) Abuse","https://www.dosje.gov.in/schemes-and-services/scheme-of-national-awards-for-outstanding-services-in-the-field-of-prevention-of-alcoholism-and-substance-drug-abuse/","Yes","A scheme of this Department","Department of Social Justice & Empowerment","Stays; write the description","A Department award scheme under the drug-demand-reduction programme. The page is a documents table with no description.","A Department award scheme in the drug-demand-reduction programme. Not separately cited in Annual Report 2025-26, ch.3 ch.3; the page is a documents table only."
"108","Schemes Implemented By National Safai Karamcharis Finance & Development Corporation","https://www.dosje.gov.in/schemes-and-services/schemes-implemented-by-national-safai-karamcharis-finance-development-corporation/","No","A duplicate listing","NSKFDC","Delete; 301 to the NSKFDC organisation page","Empty page. An index of another organisation's schemes, listed as a scheme.","Empty page. An index of another organisation's schemes."
"109","SCHOLARSHIP FOR PM CARES CHILDREN","https://www.dosje.gov.in/schemes-and-services/scholarship-for-pm-cares-children/","Yes","A scheme of this Department","Department of Social Justice & Empowerment","Stays; write the description","Special scholarship for children who lost a parent to COVID-19, run by this Department. The page is one guideline PDF and a shouted title.","Annual Report 2025-26, ch.3 §3.26; Notes on Demands for Grants 2026-27, Demand No.93 25 — the Department runs a special scholarship for PM CARES children."
"110","Scholarship for Technical and Professional Courses","https://www.dosje.gov.in/schemes-and-services/scholarship-for-technical-and-professional-courses/","No","A State Government scheme","A State Government — not named on the page","DWBDNC → State schemes directory","A State scholarship for technical and professional courses; the income ceilings are a State's.","Record's own text: a State scholarship with State income ceilings. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"111","Scholarships for Higher Education for Young Achievers Scheme (SHREYAS) (OBC &Others) – 2021-22 to 2025-26.","https://www.dosje.gov.in/schemes-and-services/scholarships-for-higher-education-for-young-achievers-scheme-shreyas-obc-others-2021-22-to-2025-26/","Yes — a component of another scheme","A scheme of this Department","Department of Social Justice & Empowerment","Nest under PM-YASASVI; write the description","SHREYAS for OBCs. The page is a documents table, and the scheme is one of PM-YASASVI's five sub-schemes.","Annual Report 2025-26, ch.3 §3.18-3.24; Notes on Demands for Grants 2026-27, Demand No.93 13.01-13.02 and 30.01-30.05. SHREYAS for OBCs is the family inside PM-YASASVI."
"112","Scholarships for Post Matric Students","https://www.dosje.gov.in/schemes-and-services/scholarships-for-post-matric-students/","No","A State Government scheme","A State Government — not named on the page","DWBDNC → State schemes directory","A State post-matric scholarship; ""PUC"" is a State's term.","Record's own text: a State post-matric scholarship; ""PUC"" is a State's term. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"113","Seed – Free Coaching","https://www.dosje.gov.in/schemes-and-services/seed-free-coaching/","Yes","A scheme of this Department","Department of Social Justice & Empowerment","Stays; nest the four SEED components under SEED","SEED — the Department's scheme for economic empowerment of DNT communities. The page is 24 KB of pasted guideline text.","Annual Report 2025-26, ch.3 §3.30; Notes on Demands for Grants 2026-27, Demand No.93 14; PIB Year-End Review 2025."
"114","SEED – Health Insurance","https://www.dosje.gov.in/schemes-and-services/seed-health-insurance/","Yes — a component of another scheme","A scheme of this Department","Department of Social Justice & Empowerment","Nest under SEED","SEED component, delivered through Ayushman Bharat.","Annual Report 2025-26, ch.3 §3.30 — SEED's health-insurance component, delivered through Ayushman Bharat."
"115","Seed – Housing","https://www.dosje.gov.in/schemes-and-services/seed-housing/","Yes — a component of another scheme","A scheme of this Department","Department of Social Justice & Empowerment","Nest under SEED","SEED component, delivered through PM-AWAS.","Annual Report 2025-26, ch.3 §3.30 — SEED's housing component, delivered through PM-AWAS."
"116","Seed – Livelihood","https://www.dosje.gov.in/schemes-and-services/seed-livelihood/","Yes — a component of another scheme","A scheme of this Department","Department of Social Justice & Empowerment","Nest under SEED","SEED component, delivered through NRLM/NULM. Carries the SHRESHTA standfirst by mistake.","Annual Report 2025-26, ch.3 §3.30 — SEED's livelihood component, delivered through NRLM/NULM."
"117","Schemes Implemented By National Safai Karamcharis Finance & Development Corporation","https://www.dosje.gov.in/schemes-and-services/self-employment-scheme-for-rehabilitation-of-manual-scavengers-srms-applicable-from-november-2013/","No","A duplicate listing","NSKFDC","Delete","Empty page whose title is another record's and whose address is a third scheme's.","Empty page carrying record 108's title and a third scheme's web address."
"118","Self Employment Scheme for Rehabilitation of Manual Scavengers (SRMS) – Applicable from November, 2013","https://www.dosje.gov.in/schemes-and-services/self-employment-scheme-for-rehabilitation-of-manual-scavengers-srms-applicable-from-november-2013-3/","To confirm","Status unconfirmed","Not stated on the page","Archive with a note; 301 to NAMASTE","Empty page. SRMS was subsumed into NAMASTE from 2023-24; its components now sit inside NAMASTE.","Annual Report 2025-26, ch.3 §3.11 records SRMS as subsumed into NAMASTE from 2023-24. The page is empty."
"119","Seniorcare Ageing Growth Engine (SAGE)","https://www.dosje.gov.in/schemes-and-services/seniorcare-ageing-growth-engine-sage/","Yes — a component of another scheme","A scheme of this Department","Department of Social Justice & Empowerment","Stays","An AVYAY initiative for senior-care start-ups.","An AVYAY initiative. Not separately cited in Annual Report 2025-26, ch.3 §3.14 A-F; the record itself names AVYAY as its parent."
"120","Skill Development Training Programmes of NSKFDC and Achievements","https://www.dosje.gov.in/schemes-and-services/skill-development-training-programmes-of-nskfdc-and-achievements/","No","A status or achievement table","NSKFDC","Dashboard / Statistics, or NSKFDC → Achievements","Empty page. Training numbers and achievements of a corporation.","The record's own title is a status/achievement table and the body is empty."
"121","Special Incentives for Pre-Matric Students","https://www.dosje.gov.in/schemes-and-services/special-incentives-for-pre-matric-students/","No","A State Government scheme","A State Government — not named on the page","DWBDNC → State schemes directory","A State pre-matric incentive.","Record's own text: a State pre-matric incentive. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"122","State Action Plan for Senior Citizens (SAPSrC)","https://www.dosje.gov.in/schemes-and-services/state-action-plan-for-senior-citizens-sapsrc/","Yes — a component of another scheme","A scheme of this Department","Department of Social Justice & Empowerment","Stays","AVYAY component funding State action plans under the Maintenance and Welfare of Parents and Senior Citizens Act 2007.","Annual Report 2025-26, ch.3 §3.14 — the AVYAY component funding State action plans under the Maintenance and Welfare of Parents and Senior Citizens Act 2007."
"123","State Scholarship Class 6th to 10th","https://www.dosje.gov.in/schemes-and-services/state-scholarship-class-6th-to-10th/","No","A State Government scheme","Government of Madhya Pradesh (stated on the page)","DWBDNC → State schemes directory (Madhya Pradesh)","Madhya Pradesh — paid through the Directorate of Public Instruction.","Record's own text: Madhya Pradesh; paid through the Directorate of Public Instruction. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"124","Status of Loan Application for Rehabilitation of Manual Scavengers","https://www.dosje.gov.in/schemes-and-services/status-of-loan-application-for-rehabilitation-of-manual-scavengers/","No","A status or achievement table","NSKFDC","Dashboard / Statistics","Empty page. A loan-application status table.","The record's own title is a status/achievement table and the body is empty."
"125","Status of Self Employment Scheme for Rehabilitation of Manual Scavengers as on 30 April,2018","https://www.dosje.gov.in/schemes-and-services/status-of-self-employment-scheme-for-rehabilitation-of-manual-scavengers-as-on-30-april2018/","No","A status or achievement table","NSKFDC","Dashboard / Statistics, or retire","Empty page. A status table as on 30 April 2018 — eight years stale, for a scheme since subsumed.","The record's own title is a status/achievement table and the body is empty. Its own cut-off is 30 April 2018, for a scheme since subsumed."
"126","Support for Marginalized Individuals for Livelihood and Enterprise (SMILE)","https://www.dosje.gov.in/schemes-and-services/support-for-marginalized-individuals-for-livelihood-and-enterprise-smile/","Yes","A scheme of this Department","Department of Social Justice & Empowerment","Stays; add the two sub-schemes","Central Sector umbrella with two sub-schemes — begging and transgender persons. Neither sub-scheme is listed separately.","Annual Report 2025-26, ch.3 §3.16 and §3.17; Notes on Demands for Grants 2026-27, Demand No.93 15.01-15.02; PIB Year-End Review 2025."
"127","Swachhta Udyami Yojana (SUY)","https://www.dosje.gov.in/schemes-and-services/swachhta-udyami-yojana-suy/","No","A corporation s loan product or activity","NSKFDC","Organisation → NSKFDC → Loan schemes; link from NAMASTE","NSKFDC financing for sanitation vehicles; also a NAMASTE component.","The record's own text names NSKFDC as the lender. NSKFDC's lending is reported in Annual Report 2025-26, ch.3 §3.35 as the corporation's activity, not as a Department scheme; no scheme line in Notes on Demands for Grants 2026-27, Demand No.93. Also a NAMASTE component (Annual Report 2025-26, ch.3 §3.11)."
"128","Talent Pool Scheme for DNTs","https://www.dosje.gov.in/schemes-and-services/talent-pool-scheme-for-dnts/","No","A State Government scheme","A State Government — not named on the page","DWBDNC → State schemes directory","A State DNT talent scheme.","Record's own text: a State DNT talent scheme. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"129","Technology Upgradation of Clusters","https://www.dosje.gov.in/schemes-and-services/technology-upgradation-of-clusters/","To confirm","Status unconfirmed","Not stated on the page","Delete unless the Department claims it","Empty page. No owner, no text, no clue which corporation or State it belongs to.","Empty page. No body, no administering organisation, no State — unattributable as it stands."
"130","Top Class Education in College for OBC EBC and DNT Students","https://www.dosje.gov.in/schemes-and-services/top-class-education-in-colllege-for-obc-ebc-and-dnt-students/","Yes — a component of another scheme","A scheme of this Department","Department of Social Justice & Empowerment","Nest under PM-YASASVI; write the description","A PM-YASASVI sub-scheme. The page is a documents table with no description.","Annual Report 2025-26, ch.3 §3.21; Notes on Demands for Grants 2026-27, Demand No.93 30.04 — a PM-YASASVI sub-scheme."
"131","Training of Motor Driving to VJNT, SBC & OBCs","https://www.dosje.gov.in/schemes-and-services/training-of-motor-driving-to-vjnt-sbc-obcs/","No","A State Government scheme","Government of Maharashtra (inferred)","DWBDNC → State schemes directory (Maharashtra)","Maharashtra — VJNT/SBC/OBC driving and conductor training.","Record's own text: VJNT/SBC are the category names used by Maharashtra, not by the Union. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
